ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,modelMemoryType,texMemoryType,cameraDitherFadeId,reportAnimMemSizeMb,unk,
100,,0,0,[0|0|0],1,1,0,12,0
110,,0,0,[0|0|0],1,1,0,12,0
120,,0,0,[0|0|0],1,1,0,12,0
1000,,0,0,[0|0|0],1,1,0,12,0
2010,Blaidd,0,0,[0|0|0],3,3,101,12,768
2030,Rennala,0,0,[0|0|0],4,4,101,12,0
2031,Rennala,0,0,[0|0|0],1,1,101,12,0
2040,Juvenile Scholar,0,0,[0|0|0],3,3,101,12,0
2041,Larva of Rot,0,0,[0|0|0],3,3,101,12,0
2050,Ranni the Witch,0,0,[0|0|0],3,3,101,12,768
2051,Ranni the Witch,0,0,[0|0|0],3,3,101,12,768
2060,The Two Fingers,0,0,[0|0|0],4,4,120,12,0
2070,The Three Fingers,0,0,[0|0|0],4,4,120,12,0
2100,Black Knife Assassin,0,0,[0|0|0],3,3,101,12,0
2110,Beast Clergyman,0,0,[0|0|0],4,4,120,12,262144
2120,Malenia,0,0,[0|0|0],4,4,101,12,0
2130,Morgott,0,0,[0|0|0],4,4,110,12,0
2131,Morgott (Dead),0,0,[0|0|0],3,3,101,12,0
2140,Omen,0,0,[0|0|0],3,3,110,12,0
2150,Lightning Ball,0,0,[0|0|0],1,1,101,12,0
2160,Finger Reader Crone,0,0,[0|0|0],2,2,101,12,0
2170,Finger Reader Crone,0,0,[0|0|0],2,2,101,12,768
2180,Melina,0,0,[0|0|0],3,3,101,12,768
2190,Radagon,0,0,[0|0|0],4,4,101,12,0
2191,Radagon (Crucified),0,0,[0|0|0],4,4,101,12,0
2200,Elden Beast,0,0,[0|0|0],4,4,120,12,0
2270,Giant Crab,0,0,[0|0|0],4,4,110,12,0
2271,Crab,0,0,[0|0|0],2,2,101,12,0
2272,Giant Black Crab,0,0,[0|0|0],4,4,110,12,0
2273,Black Crab,0,0,[0|0|0],2,2,101,12,0
2274,Giant Albinauric Crab,0,0,[0|0|0],4,4,110,12,0
2275,Albinauric Crab,0,0,[0|0|0],2,2,101,12,0
2276,Giant Death Crab,0,0,[0|0|0],4,4,110,12,0
2277,Death Crab,0,0,[0|0|0],2,2,101,12,0
2500,Crucible Knight,0,0,[0|0|0],3,3,101,12,768
3000,Exile Soldier,0,0,[0|0|0],3,3,101,15,0
3010,Banished Knight,0,0,[0|0|0],3,3,101,12,768
3020,Exile Soldier (Large),0,0,[0|0|0],3,3,101,12,0
3050,Commander Niall/O'Neill,0,0,[0|0|0],4,4,110,12,0
3060,Giant Skeleton,0,0,[0|0|0],3,3,101,12,0
3061,Giant Beast Skeleton,0,0,[0|0|0],3,3,101,12,0
3070,Dominula Celebrant,0,0,[0|0|0],3,3,101,12,0
3080,Imp,0,0,[0|0|0],3,3,101,12,0
3100,Elemer of the Briar,0,0,[0|0|0],3,3,101,12,0
3150,Night's Cavalry,0,0,[0|0|0],3,4,110,12,0
3160,Funeral Steed,0,0,[0|0|0],3,1,110,12,0
3170,Albinauric Archer,0,0,[0|0|0],3,3,101,12,0
3171,Phillia- Towering Little Sister,0,0,[0|0|0],3,3,110,12,0
3180,Albinauric Archer's Wolf,0,0,[0|0|0],2,2,101,12,0
3181,Red Wolf of Radagon,0,0,[0|0|0],3,3,110,12,262144
3200,Nomadic Merchant,0,0,[0|0|0],3,3,101,12,0
3201,Frenzied Nomad,0,0,[0|0|0],3,3,101,12,0
3202,Nomadic Merchant,0,0,[0|0|0],3,3,101,12,0
3210,Nomadic Merchant's Donkey,0,0,[0|0|0],2,2,101,12,0
3250,Draconic Tree Sentinel,0,0,[0|0|0],4,4,120,12,0
3251,Tree Sentinel,0,0,[0|0|0],4,4,120,12,0
3252,Loretta,0,0,[0|0|0],4,4,120,12,0
3300,Nox Swordstress/Monk/Nightmaiden,0,0,[0|0|0],3,3,101,12,768
3320,Silver Tear,0,0,[0|0|0],2,2,101,12,0
3330,Giant Silver Tear,0,0,[0|0|0],2,2,110,12,0
3350,Crystalian,0,0,[0|0|0],3,3,101,12,0
3360,Ancestral Follower,0,0,[0|0|0],3,3,101,12,768
3361,Putrid Ancestral Follower,0,0,[0|0|0],3,3,101,12,768
3370,Ancestral Follower Shaman,0,0,[0|0|0],3,3,101,12,768
3371,Putrid Ancestral Follower Shaman,0,0,[0|0|0],3,3,101,12,768
3400,Grave Warden Duelist,0,0,[0|0|0],3,3,101,12,0
3450,Misbegotten,0,0,[0|0|0],3,3,101,15,0
3451,Scaly Misbegotten,0,0,[0|0|0],1,1,101,12,0
3460,Leonine Misbegotten,0,0,[0|0|0],3,3,101,12,0
3470,Albinauric,0,0,[0|0|0],3,3,101,12,0
3471,Large Albinauric,0,0,[0|0|0],3,3,101,12,0
3500,Skeletal Militiaman/Bandit/Knight/Grave Warden,0,0,[0|0|0],3,3,101,12,0
3510,Catacomb Skeleton,0,0,[0|0|0],3,3,101,12,0
3550,Sanguine Noble,0,0,[0|0|0],3,3,101,12,768
3560,Godskin Apostle,0,0,[0|0|0],3,3,110,12,0
3570,Godskin Noble,0,0,[0|0|0],3,3,110,12,0
3600,Alabaster Lord,0,0,[0|0|0],3,3,101,12,0
3610,Oracle Envoy,0,0,[0|0|0],3,3,101,12,0
3620,Oracle Envoy (Large),0,0,[0|0|0],3,3,101,12,0
